[2024-12-01 14:45:39] warning: 	z2m: `permit_join` set to  `true` in configuration.yaml.
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:parser: <-- [254,1,100,1,0,100]
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:parser: --- parseNext [254,1,100,1,0,100]
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:parser: --> parsed 1 - 3 - 4 - 1 - [0] - 100
[2024-12-01 14:48:04] debug: 	zh:zstack:znp: <-- SRSP: AF - dataRequest - {"status":0}
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:48:04] debug: 	zh:zstack:znp: --> SREQ: AF - dataRequest - {"dstaddr":60167,"destendpoint":2,"srcendpoint":1,"clusterid":25,"transid":34,"options":0,"radius":30,"len":5,"data":{"type":"Buffer","data":[25,219,0,0,100]}}
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:writer: --> frame [254,15,36,1,7,235,2,1,25,0,34,0,30,5,25,219,0,0,100,67]
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:parser: <-- [254,3,68,128,0,1,33,231]
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:parser: --- parseNext [254,3,68,128,0,1,33,231]
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:parser: --> parsed 3 - 2 - 4 - 128 - [0,1,33] - 231
[2024-12-01 14:48:04] debug: 	zh:zstack:znp: <-- AREQ: AF - dataConfirm - {"status":0,"endpoint":1,"transid":33}
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:parser: <-- [254,1,100,1,0,100]
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:parser: --- parseNext [254,1,100,1,0,100]
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:parser: --> parsed 1 - 3 - 4 - 1 - [0] - 100
[2024-12-01 14:48:04] debug: 	zh:zstack:znp: <-- SRSP: AF - dataRequest - {"status":0}
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:48:04] debug: 	zh:zstack:znp: --> SREQ: AF - dataRequest - {"dstaddr":32233,"destendpoint":44,"srcendpoint":1,"clusterid":25,"transid":35,"options":0,"radius":30,"len":5,"data":{"type":"Buffer","data":[25,220,0,0,100]}}
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:writer: --> frame [254,15,36,1,233,125,44,1,25,0,35,0,30,5,25,220,0,0,100,19]
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:parser: <-- [254,1,100,1,0,100,254,3,68,128,0,1,34,228]
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:parser: --- parseNext [254,1,100,1,0,100,254,3,68,128,0,1,34,228]
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:parser: --> parsed 1 - 3 - 4 - 1 - [0] - 100
[2024-12-01 14:48:04] debug: 	zh:zstack:znp: <-- SRSP: AF - dataRequest - {"status":0}
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:parser: --- parseNext [254,3,68,128,0,1,34,228]
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:parser: --> parsed 3 - 2 - 4 - 128 - [0,1,34] - 228
[2024-12-01 14:48:04] debug: 	zh:zstack:znp: <-- AREQ: AF - dataConfirm - {"status":0,"endpoint":1,"transid":34}
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:parser: <-- [254,3,68,128,0,1,35,229]
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:parser: --- parseNext [254,3,68,128,0,1,35,229]
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:parser: --> parsed 3 - 2 - 4 - 128 - [0,1,35] - 229
[2024-12-01 14:48:04] debug: 	zh:zstack:znp: <-- AREQ: AF - dataConfirm - {"status":0,"endpoint":1,"transid":35}
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:48:04] debug: 	zhc:ota: Downloaded main index
[2024-12-01 14:48:04] debug: 	zhc:ota:common: Is new image available for '0xa4c13812921dddfd' (TS011F), latest meta '{"fileVersion":192,"fileSize":307682,"url":"https://github.com/Koenkk/zigbee-OTA/raw/master/images/Tuya/1662545193-oem_zg_tl8258_plug_OTA_3.0.0.bin","sha512":"01939ca4fc790432d2c233e19b2440c1e0248d2ce85c9299e0b88928cb2341de675350ac7b78187a25f06a2768f93db0a17c4ba950b60c82c072e0c0833cfcfb"}'
[2024-12-01 14:48:04] debug: 	zhc:ota:common: Update available for '0xa4c13812921dddfd' (TS011F): NO
[2024-12-01 14:48:04] info: 	z2m: No update available for 'Smart Plug Z1'
[2024-12-01 14:48:04] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Smart Plug Z1', payload '{"child_lock":"UNLOCK","countdown":0,"current":0,"energy":16.74,"indicator_mode":"off/on","linkquality":123,"power":0,"power_outage_memory":"off","state":"ON","update":{"installed_version":192,"latest_version":192,"state":"idle"},"update_available":null,"voltage":235}'
[2024-12-01 14:48:04] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/device/ota_update/check', payload '{"data":{"id":"Smart Plug Z1","updateAvailable":false},"status":"ok","transaction":"ame45-3"}'
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:parser: <-- [254,3,68,128,0,1,32,230]
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:parser: --- parseNext [254,3,68,128,0,1,32,230]
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:parser: --> parsed 3 - 2 - 4 - 128 - [0,1,32] - 230
[2024-12-01 14:48:04] debug: 	zh:zstack:znp: <-- AREQ: AF - dataConfirm - {"status":0,"endpoint":1,"transid":32}
[2024-12-01 14:48:04] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:48:05] debug: 	zh:zstack:unpi:parser: <-- [254,32,68,129,0,0,25,0,7,235,2,1,0,123,0,159,148,114,0,0,12,1,189,1,0,11,16,13,1,183,107,0,66,233,121,28,165]
[2024-12-01 14:48:05] debug: 	zh:zstack:unpi:parser: --- parseNext [254,32,68,129,0,0,25,0,7,235,2,1,0,123,0,159,148,114,0,0,12,1,189,1,0,11,16,13,1,183,107,0,66,233,121,28,165]
[2024-12-01 14:48:05] debug: 	zh:zstack:unpi:parser: --> parsed 32 - 2 - 4 - 129 - [0,0,25,0,7,235,2,1,0,123,0,159,148,114,0,0,12,1,189,1,0,11,16,13,1,183,107,0,66,233,121,28] - 165
[2024-12-01 14:48:05] debug: 	zh:zstack:znp: <-- AREQ: AF - incomingMsg - {"groupid":0,"clusterid":25,"srcaddr":60167,"srcendpoint":2,"dstendpoint":1,"wasbroadcast":0,"linkquality":123,"securityuse":0,"timestamp":7509151,"transseqnumber":0,"len":12,"data":{"type":"Buffer","data":[1,189,1,0,11,16,13,1,183,107,0,66]}}
[2024-12-01 14:48:05] debug: 	zh:controller: Received payload: clusterID=25, address=60167, groupID=0, endpoint=2, destinationEndpoint=1, wasBroadcast=false, linkQuality=123, frame={"header":{"frameControl":{"frameType":1,"manufacturerSpecific":false,"direction":0,"disableDefaultResponse":false,"reservedBits":0},"transactionSequenceNumber":189,"commandIdentifier":1},"payload":{"fieldControl":0,"manufacturerCode":4107,"imageType":269,"fileVersion":1107323831},"command":{"ID":1,"response":2,"parameters":[{"name":"fieldControl","type":32},{"name":"manufacturerCode","type":33},{"name":"imageType","type":33},{"name":"fileVersion","type":35}],"name":"queryNextImageRequest"}}
[2024-12-01 14:48:05] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:48:05] debug: 	z2m: Received Zigbee message from 'Philips Backyard Sensor', type 'commandQueryNextImageRequest', cluster 'genOta', data '{"fieldControl":0,"fileVersion":1107323831,"imageType":269,"manufacturerCode":4107}' from endpoint 2 with groupID 0
[2024-12-01 14:48:05] debug: 	zhc:ota:common: Got request '{"fieldControl":0,"manufacturerCode":4107,"imageType":269,"fileVersion":1107323831}'
[2024-12-01 14:48:05] debug: 	zhc:ota:common: Is new image available for '0x001788010649a073' (SML002), current '{"fieldControl":0,"manufacturerCode":4107,"imageType":269,"fileVersion":1107323831}'
[2024-12-01 14:48:05] debug: 	zhc:ota: Getting image metadata for 'SML002'
[2024-12-01 14:48:05] debug: 	zhc:ota: Downloaded main index
[2024-12-01 14:48:05] debug: 	zhc:ota:common: Is new image available for '0x001788010649a073' (SML002), latest meta '{"fileVersion":1107323831,"fileSize":240760,"url":"https://github.com/Koenkk/zigbee-OTA/raw/master/images/Hue/Sensor-ATmega_6.1.1.27575_0012.sbl-ota","sha512":"10e549c55d262b2f227b75817f6620be407f537e04ac08db4dbebdf53e8d460299a2cda248b3be13476757d61a1c79b632963c4f126cd26b7c18ea6a2ab4ac59"}'
[2024-12-01 14:48:05] debug: 	zhc:ota:common: Update available for '0x001788010649a073' (SML002): NO
[2024-12-01 14:48:05] info: 	z2m: No update available for 'Philips Backyard Sensor'
[2024-12-01 14:48:05] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Philips Backyard Sensor', payload '{"battery":52.5,"illuminance":29995,"illuminance_lux":999,"led_indication":true,"linkquality":123,"motion_sensitivity":"high","occupancy":false,"occupancy_timeout":60,"temperature":17.43,"update":{"installed_version":1107323831,"latest_version":1107323831,"state":"idle"},"update_available":null}'
[2024-12-01 14:48:05] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/device/ota_update/check', payload '{"data":{"id":"Philips Backyard Sensor","updateAvailable":false},"status":"ok","transaction":"ame45-8"}'
[2024-12-01 14:48:07] debug: 	zh:zstack:unpi:parser: <-- [254,34,68,129,0,0,25,0,233,125,44,13,0,43,0,122,138,116,0,0,14,1,96,1,1,21,16,147,3,5,0,2,0,32,1,206,18,28,248]
[2024-12-01 14:48:07] debug: 	zh:zstack:unpi:parser: --- parseNext [254,34,68,129,0,0,25,0,233,125,44,13,0,43,0,122,138,116,0,0,14,1,96,1,1,21,16,147,3,5,0,2,0,32,1,206,18,28,248]
[2024-12-01 14:48:07] debug: 	zh:zstack:unpi:parser: --> parsed 34 - 2 - 4 - 129 - [0,0,25,0,233,125,44,13,0,43,0,122,138,116,0,0,14,1,96,1,1,21,16,147,3,5,0,2,0,32,1,206,18,28] - 248
[2024-12-01 14:48:07] debug: 	zh:zstack:znp: <-- AREQ: AF - incomingMsg - {"groupid":0,"clusterid":25,"srcaddr":32233,"srcendpoint":44,"dstendpoint":13,"wasbroadcast":0,"linkquality":43,"securityuse":0,"timestamp":7637626,"transseqnumber":0,"len":14,"data":{"type":"Buffer","data":[1,96,1,1,21,16,147,3,5,0,2,0,32,1]}}
[2024-12-01 14:48:07] debug: 	zh:controller: Received payload: clusterID=25, address=32233, groupID=0, endpoint=44, destinationEndpoint=13, wasBroadcast=false, linkQuality=43, frame={"header":{"frameControl":{"frameType":1,"manufacturerSpecific":false,"direction":0,"disableDefaultResponse":false,"reservedBits":0},"transactionSequenceNumber":96,"commandIdentifier":1},"payload":{"fieldControl":1,"manufacturerCode":4117,"imageType":915,"fileVersion":131077},"command":{"ID":1,"response":2,"parameters":[{"name":"fieldControl","type":32},{"name":"manufacturerCode","type":33},{"name":"imageType","type":33},{"name":"fileVersion","type":35}],"name":"queryNextImageRequest"}}
[2024-12-01 14:48:07] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:48:07] debug: 	z2m: Received Zigbee message from 'Alarm Keypad', type 'commandQueryNextImageRequest', cluster 'genOta', data '{"fieldControl":1,"fileVersion":131077,"imageType":915,"manufacturerCode":4117}' from endpoint 44 with groupID 0
[2024-12-01 14:48:07] debug: 	zhc:ota:common: Got request '{"fieldControl":1,"manufacturerCode":4117,"imageType":915,"fileVersion":131077}'
[2024-12-01 14:48:07] debug: 	zhc:ota:common: Is new image available for '0x0015bc0043006306' (KEPZB-110), current '{"fieldControl":1,"manufacturerCode":4117,"imageType":915,"fileVersion":131077}'
[2024-12-01 14:48:07] debug: 	zhc:ota: Getting image metadata for 'KEPZB-110'
[2024-12-01 14:48:07] debug: 	zhc:ota: Downloaded main index
[2024-12-01 14:48:07] debug: 	zhc:ota:common: Is new image available for '0x0015bc0043006306' (KEPZB-110), latest meta '{"fileVersion":131077,"fileSize":217046,"url":"https://github.com/Koenkk/zigbee-OTA/raw/master/images/Develco/IntelligentKeyPad_2.0.5.zigbee","sha512":"59b62aab3326b662f6e21a0327440db4836e55a618c7ce7b2cf5578c7b847cd9d08d8e6c431feb714f87a3556c1951069466f3986effa8dd5e1f91b39f3edd53"}'
[2024-12-01 14:48:07] debug: 	zhc:ota:common: Update available for '0x0015bc0043006306' (KEPZB-110): NO
[2024-12-01 14:48:07] info: 	z2m: No update available for 'Alarm Keypad'
[2024-12-01 14:48:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Alarm Keypad', payload '{"action":null,"action_code":null,"action_transaction":null,"action_zone":null,"battery":100,"battery_low":false,"linkquality":43,"tamper":false,"update":{"installed_version":131077,"latest_version":131077,"state":"idle"},"update_available":null,"voltage":6400}'
[2024-12-01 14:48:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/response/device/ota_update/check', payload '{"data":{"id":"Alarm Keypad","updateAvailable":false},"status":"ok","transaction":"ame45-9"}'
[2024-12-01 14:48:07] debug: 	z2m:mqtt: Received MQTT message on 'zigbee2mqtt/Alarm Keypad/set' with data '{
 "arm_mode": 
  {
   "mode": "disarm"
  }
}'
[2024-12-01 14:48:07] debug: 	z2m: Publishing 'set' 'arm_mode' to 'Alarm Keypad'
[2024-12-01 14:48:07] debug: 	zh:controller:endpoint: CommandResponse 0x0015bc0043006306/44 ssIasAce.panelStatusChanged({"panelstatus":0,"secondsremain":0,"audiblenotif":0,"alarmstatus":0}, {"timeout":10000,"disableResponse":false,"disableRecovery":false,"disableDefaultResponse":true,"direction":1,"reservedBits":0,"writeUndiv":false})
[2024-12-01 14:48:07] debug: 	zh:controller:endpoint: Request Queue (0x0015bc0043006306/44): send panelStatusChanged request immediately (sendPolicy=undefined)
[2024-12-01 14:48:07] debug: 	zh:zstack: sendZclFrameToEndpointInternal 0x0015bc0043006306:32233/44 (0,0,3)
[2024-12-01 14:48:07] debug: 	zh:zstack:znp: --> SREQ: AF - dataRequest - {"dstaddr":32233,"destendpoint":44,"srcendpoint":1,"clusterid":1281,"transid":36,"options":0,"radius":30,"len":7,"data":{"type":"Buffer","data":[25,221,4,0,0,0,0]}}
[2024-12-01 14:48:07] debug: 	zh:zstack:unpi:writer: --> frame [254,17,36,1,233,125,44,1,1,5,36,0,30,7,25,221,4,0,0,0,0,116]
[2024-12-01 14:48:07] debug: 	zh:zstack:unpi:parser: <-- [254,1,100,1,0,100]
[2024-12-01 14:48:07] debug: 	zh:zstack:unpi:parser: --- parseNext [254,1,100,1,0,100]
[2024-12-01 14:48:07] debug: 	zh:zstack:unpi:parser: --> parsed 1 - 3 - 4 - 1 - [0] - 100
[2024-12-01 14:48:07] debug: 	zh:zstack:znp: <-- SRSP: AF - dataRequest - {"status":0}
[2024-12-01 14:48:07] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:48:07] debug: 	zh:zstack:unpi:parser: <-- [254,3,68,128,0,1,36,226]
[2024-12-01 14:48:07] debug: 	zh:zstack:unpi:parser: --- parseNext [254,3,68,128,0,1,36,226]
[2024-12-01 14:48:07] debug: 	zh:zstack:unpi:parser: --> parsed 3 - 2 - 4 - 128 - [0,1,36] - 226
[2024-12-01 14:48:07] debug: 	zh:zstack:znp: <-- AREQ: AF - dataConfirm - {"status":0,"endpoint":1,"transid":36}
[2024-12-01 14:48:07] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:48:11] debug: 	zh:zstack:unpi:parser: <-- [254,3,68,128,240,1,28,42,254,3,68,128,240,1,31,41]
[2024-12-01 14:48:11] debug: 	zh:zstack:unpi:parser: --- parseNext [254,3,68,128,240,1,28,42,254,3,68,128,240,1,31,41]
[2024-12-01 14:48:11] debug: 	zh:zstack:unpi:parser: --> parsed 3 - 2 - 4 - 128 - [240,1,28] - 42
[2024-12-01 14:48:11] debug: 	zh:zstack:znp: <-- AREQ: AF - dataConfirm - {"status":240,"endpoint":1,"transid":28}
[2024-12-01 14:48:11] debug: 	zh:zstack:unpi:parser: --- parseNext [254,3,68,128,240,1,31,41]
[2024-12-01 14:48:11] debug: 	zh:zstack:unpi:parser: --> parsed 3 - 2 - 4 - 128 - [240,1,31] - 41
[2024-12-01 14:48:11] debug: 	zh:zstack:znp: <-- AREQ: AF - dataConfirm - {"status":240,"endpoint":1,"transid":31}
[2024-12-01 14:48:11] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:48:11] debug: 	zh:zstack: Data confirm error (0xb4e3f9fffe249e15:47559,240,0)
[2024-12-01 14:48:11] debug: 	zh:zstack: Wait 2000ms
[2024-12-01 14:48:11] debug: 	zh:zstack: Data confirm error (0x04cd15fffe7ff98b:9,240,0)
[2024-12-01 14:48:11] debug: 	zh:zstack: Wait 2000ms
[2024-12-01 14:48:13] debug: 	zh:zstack: sendZclFrameToEndpointInternal 0xb4e3f9fffe249e15:47559/1 (0,1,2)
[2024-12-01 14:48:13] debug: 	zh:zstack:znp: --> SREQ: AF - dataRequest - {"dstaddr":47559,"destendpoint":1,"srcendpoint":1,"clusterid":25,"transid":37,"options":0,"radius":30,"len":5,"data":{"type":"Buffer","data":[25,213,0,0,100]}}
[2024-12-01 14:48:13] debug: 	zh:zstack:unpi:writer: --> frame [254,15,36,1,199,185,1,1,25,0,37,0,30,5,25,213,0,0,100,219]
[2024-12-01 14:48:13] debug: 	zh:zstack: sendZclFrameToEndpointInternal 0x04cd15fffe7ff98b:9/1 (0,1,2)
[2024-12-01 14:48:13] debug: 	zh:zstack:unpi:parser: <-- [254,1,100,1,0,100]
[2024-12-01 14:48:13] debug: 	zh:zstack:unpi:parser: --- parseNext [254,1,100,1,0,100]
[2024-12-01 14:48:13] debug: 	zh:zstack:unpi:parser: --> parsed 1 - 3 - 4 - 1 - [0] - 100
[2024-12-01 14:48:13] debug: 	zh:zstack:znp: <-- SRSP: AF - dataRequest - {"status":0}
[2024-12-01 14:48:13] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:48:13] debug: 	zh:zstack:znp: --> SREQ: AF - dataRequest - {"dstaddr":9,"destendpoint":1,"srcendpoint":1,"clusterid":25,"transid":38,"options":0,"radius":30,"len":5,"data":{"type":"Buffer","data":[25,216,0,0,100]}}
[2024-12-01 14:48:13] debug: 	zh:zstack:unpi:writer: --> frame [254,15,36,1,9,0,1,1,25,0,38,0,30,5,25,216,0,0,100,162]
[2024-12-01 14:48:13] debug: 	zh:zstack:unpi:parser: <-- [254,1,100,1,0,100]
[2024-12-01 14:48:13] debug: 	zh:zstack:unpi:parser: --- parseNext [254,1,100,1,0,100]
[2024-12-01 14:48:13] debug: 	zh:zstack:unpi:parser: --> parsed 1 - 3 - 4 - 1 - [0] - 100
[2024-12-01 14:48:13] debug: 	zh:zstack:znp: <-- SRSP: AF - dataRequest - {"status":0}
[2024-12-01 14:48:13] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:48:15] debug: 	zh:zstack:unpi:parser: <-- [254,32,68,129,0,0,25,0,7,235,2,1,0,131,0,192,2,124,0,0,12,1,190,1,0,11,16,13,1,183,107,0,66,233,121,28,153]
[2024-12-01 14:48:15] debug: 	zh:zstack:unpi:parser: --- parseNext [254,32,68,129,0,0,25,0,7,235,2,1,0,131,0,192,2,124,0,0,12,1,190,1,0,11,16,13,1,183,107,0,66,233,121,28,153]
[2024-12-01 14:48:15] debug: 	zh:zstack:unpi:parser: --> parsed 32 - 2 - 4 - 129 - [0,0,25,0,7,235,2,1,0,131,0,192,2,124,0,0,12,1,190,1,0,11,16,13,1,183,107,0,66,233,121,28] - 153
[2024-12-01 14:48:15] debug: 	zh:zstack:znp: <-- AREQ: AF - incomingMsg - {"groupid":0,"clusterid":25,"srcaddr":60167,"srcendpoint":2,"dstendpoint":1,"wasbroadcast":0,"linkquality":131,"securityuse":0,"timestamp":8127168,"transseqnumber":0,"len":12,"data":{"type":"Buffer","data":[1,190,1,0,11,16,13,1,183,107,0,66]}}
[2024-12-01 14:48:15] debug: 	zh:controller: Received payload: clusterID=25, address=60167, groupID=0, endpoint=2, destinationEndpoint=1, wasBroadcast=false, linkQuality=131, frame={"header":{"frameControl":{"frameType":1,"manufacturerSpecific":false,"direction":0,"disableDefaultResponse":false,"reservedBits":0},"transactionSequenceNumber":190,"commandIdentifier":1},"payload":{"fieldControl":0,"manufacturerCode":4107,"imageType":269,"fileVersion":1107323831},"command":{"ID":1,"response":2,"parameters":[{"name":"fieldControl","type":32},{"name":"manufacturerCode","type":33},{"name":"imageType","type":33},{"name":"fileVersion","type":35}],"name":"queryNextImageRequest"}}
[2024-12-01 14:48:15] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:48:15] debug: 	z2m: Received Zigbee message from 'Philips Backyard Sensor', type 'commandQueryNextImageRequest', cluster 'genOta', data '{"fieldControl":0,"fileVersion":1107323831,"imageType":269,"manufacturerCode":4107}' from endpoint 2 with groupID 0
[2024-12-01 14:48:15] debug: 	z2m: Device 'Philips Backyard Sensor' requested OTA
[2024-12-01 14:48:17] debug: 	zh:zstack:unpi:parser: <-- [254,34,68,129,0,0,25,0,233,125,44,13,0,51,0,21,21,126,0,0,14,1,97,1,1,21,16,147,3,5,0,2,0,32,1,206,18,28,27]
[2024-12-01 14:48:17] debug: 	zh:zstack:unpi:parser: --- parseNext [254,34,68,129,0,0,25,0,233,125,44,13,0,51,0,21,21,126,0,0,14,1,97,1,1,21,16,147,3,5,0,2,0,32,1,206,18,28,27]
[2024-12-01 14:48:17] debug: 	zh:zstack:unpi:parser: --> parsed 34 - 2 - 4 - 129 - [0,0,25,0,233,125,44,13,0,51,0,21,21,126,0,0,14,1,97,1,1,21,16,147,3,5,0,2,0,32,1,206,18,28] - 27
[2024-12-01 14:48:17] debug: 	zh:zstack:znp: <-- AREQ: AF - incomingMsg - {"groupid":0,"clusterid":25,"srcaddr":32233,"srcendpoint":44,"dstendpoint":13,"wasbroadcast":0,"linkquality":51,"securityuse":0,"timestamp":8262933,"transseqnumber":0,"len":14,"data":{"type":"Buffer","data":[1,97,1,1,21,16,147,3,5,0,2,0,32,1]}}
[2024-12-01 14:48:17] debug: 	zh:controller: Received payload: clusterID=25, address=32233, groupID=0, endpoint=44, destinationEndpoint=13, wasBroadcast=false, linkQuality=51, frame={"header":{"frameControl":{"frameType":1,"manufacturerSpecific":false,"direction":0,"disableDefaultResponse":false,"reservedBits":0},"transactionSequenceNumber":97,"commandIdentifier":1},"payload":{"fieldControl":1,"manufacturerCode":4117,"imageType":915,"fileVersion":131077},"command":{"ID":1,"response":2,"parameters":[{"name":"fieldControl","type":32},{"name":"manufacturerCode","type":33},{"name":"imageType","type":33},{"name":"fileVersion","type":35}],"name":"queryNextImageRequest"}}
[2024-12-01 14:48:17] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:48:17] debug: 	z2m: Received Zigbee message from 'Alarm Keypad', type 'commandQueryNextImageRequest', cluster 'genOta', data '{"fieldControl":1,"fileVersion":131077,"imageType":915,"manufacturerCode":4117}' from endpoint 44 with groupID 0
[2024-12-01 14:48:17] debug: 	z2m: Device 'Alarm Keypad' requested OTA
[2024-12-01 14:48:21] debug: 	zh:zstack:unpi:parser: <-- [254,3,68,128,240,1,37,19,254,3,68,128,240,1,38,16]
[2024-12-01 14:48:21] debug: 	zh:zstack:unpi:parser: --- parseNext [254,3,68,128,240,1,37,19,254,3,68,128,240,1,38,16]
[2024-12-01 14:48:21] debug: 	zh:zstack:unpi:parser: --> parsed 3 - 2 - 4 - 128 - [240,1,37] - 19
[2024-12-01 14:48:21] debug: 	zh:zstack:znp: <-- AREQ: AF - dataConfirm - {"status":240,"endpoint":1,"transid":37}
[2024-12-01 14:48:21] debug: 	zh:zstack:unpi:parser: --- parseNext [254,3,68,128,240,1,38,16]
[2024-12-01 14:48:21] debug: 	zh:zstack:unpi:parser: --> parsed 3 - 2 - 4 - 128 - [240,1,38] - 16
[2024-12-01 14:48:21] debug: 	zh:zstack:znp: <-- AREQ: AF - dataConfirm - {"status":240,"endpoint":1,"transid":38}
[2024-12-01 14:48:21] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:48:21] debug: 	zh:zstack: Data confirm error (0xb4e3f9fffe249e15:47559,240,1)
[2024-12-01 14:48:21] debug: 	zh:zstack:znp: --> SREQ: UTIL - assocGetWithAddress - {"extaddr":"0xb4e3f9fffe249e15","nwkaddr":47559}
[2024-12-01 14:48:21] debug: 	zh:zstack:unpi:writer: --> frame [254,10,39,74,21,158,36,254,255,249,227,180,199,185,25]
[2024-12-01 14:48:21] debug: 	zh:zstack: Data confirm error (0x04cd15fffe7ff98b:9,240,1)
[2024-12-01 14:48:21] debug: 	zh:zstack:unpi:parser: <-- [254,36,103,74,199,185,0,0,1,104,1,0,0,1,103,0,229,38,0,0,0,0,0,224,1,0,0,196,1,0,0,1,255,0,0,0,0,0,0,0,96]
[2024-12-01 14:48:21] debug: 	zh:zstack:unpi:parser: --- parseNext [254,36,103,74,199,185,0,0,1,104,1,0,0,1,103,0,229,38,0,0,0,0,0,224,1,0,0,196,1,0,0,1,255,0,0,0,0,0,0,0,96]
[2024-12-01 14:48:21] debug: 	zh:zstack:unpi:parser: --> parsed 36 - 3 - 7 - 74 - [199,185,0,0,1,104,1,0,0,1,103,0,229,38,0,0,0,0,0,224,1,0,0,196,1,0,0,1,255,0,0,0,0,0,0,0] - 96
[2024-12-01 14:48:21] debug: 	zh:zstack:znp: <-- SRSP: UTIL - assocGetWithAddress - {"nwkaddr":47559,"addridx":0,"noderelation":1}
[2024-12-01 14:48:21] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:48:21] debug: 	zh:zstack:znp: --> SREQ: UTIL - assocGetWithAddress - {"extaddr":"0x04cd15fffe7ff98b","nwkaddr":9}
[2024-12-01 14:48:21] debug: 	zh:zstack:unpi:writer: --> frame [254,10,39,74,139,249,127,254,255,21,205,4,9,0,190]
[2024-12-01 14:48:21] debug: 	zh:zstack: assocRemove(0xb4e3f9fffe249e15)
[2024-12-01 14:48:21] debug: 	zh:zstack:unpi:parser: <-- [254,36,103,74,9,0,2,0,1,104,1,0,0,1,78,0,118,76,0,0,0,0,0,224,1,0,0,104,1,0,0,1,255,0,0,0,0,0,0,0,105]
[2024-12-01 14:48:21] debug: 	zh:zstack:unpi:parser: --- parseNext [254,36,103,74,9,0,2,0,1,104,1,0,0,1,78,0,118,76,0,0,0,0,0,224,1,0,0,104,1,0,0,1,255,0,0,0,0,0,0,0,105]
[2024-12-01 14:48:21] debug: 	zh:zstack:unpi:parser: --> parsed 36 - 3 - 7 - 74 - [9,0,2,0,1,104,1,0,0,1,78,0,118,76,0,0,0,0,0,224,1,0,0,104,1,0,0,1,255,0,0,0,0,0,0,0] - 105
[2024-12-01 14:48:21] debug: 	zh:zstack:znp: <-- SRSP: UTIL - assocGetWithAddress - {"nwkaddr":9,"addridx":2,"noderelation":1}
[2024-12-01 14:48:21] debug: 	zh:zstack:unpi:parser: --- parseNext []
[2024-12-01 14:48:21] debug: 	zh:zstack:znp: --> SREQ: UTIL - assocRemove - {"ieeeadr":"0xb4e3f9fffe249e15"}
